"Inter_ID","fitted_a","scale_adjust_factor","scaled_a","fitted_h","fitted_w","FoRAGE_ID","Dim","Num_Pred","Pred_or_Para","Habitat","Pred_Vert_Invert","Pred_group_1","Pred_mass","Pred_mass_ID","Prey_Vert_Invert","Prey_group_1","Prey_mass","Prey_mass_ID","X2D_Arena_size","X3D_Arena_size","X2.5D_Arena_size","Arena_size_general","PreyAbundanceGroup","PredAbundanceGroup","PreyMass_g","PredMass_g","PreyAbundance_50","PredAbundance_50","C_R_5","C_R_25","C_R_50","C_R_75","C_R_95","wC_ahR_5","wC_ahR_25","wC_ahR_50","wC_ahR_75","wC_ahR_95"
24,0.593453426100431,621.415604635986,368.781219603497,0.0557300004432293,48.4870762414173,3218,3,2,"Predator","Aquatic","Invertebrate","Insect",55,12,"Invertebrate","Insect",11.6,6,NA,100,NA,100,"invertebrate","invertebrate",0.0116,0.055,88.3517421072722,33.9466813994465,0.00115298271750387,0.037807339040169,0.404834757693641,4.38353260576223,139.261790683389,0.467169579758481,15.7440776162094,168.199617163923,1904.77399462471,61561.2738809167
26,0.524121119204669,1342002.10562712,703371.64557631,0.00184267620229144,429.824047584231,1530,3,1,"Predator","Aquatic","Vertebrate","Fish",139,1,"Invertebrate","Crustacean",0.0657,11,NA,16000,NA,16000,"invertebrate","ecto-vertebrate",6.57e-05,0.139,1889.08080477631,19992.7954958702,0.129640706867513,1.78744324880646,10.6026954551204,58.9831449027564,713.853758543525,0.0316358361333079,0.474852084221997,2.99100749012159,18.0527788795729,238.830505789141
27,0.27754296222674,3579579.57957958,993487.120042866,0.55560273967167,8622457.88155503,1538,3,1,"Predator","Aquatic","Vertebrate","Fish",27800,1,"Vertebrate","Fish",154,1,NA,9e+06,NA,9e+06,"ecto_vertebrate","ecto-vertebrate",0.154,27.8,14.166313183962,550.433140615215,0.672691685810411,7.40998896217146,38.445775942686,203.056828209693,2063.67910683831,7.52692542394184,90.763534355335,499.742922509998,2813.99829187257,32682.0702832916
28,0.525547855167559,113.221464269694,59.5032977058682,0.0042744764390055,6.28148203956283,1703,2.5,1,"Parasitoid","Terrestrial","Invertebrate","Insect",126,1,"Invertebrate","Insect",0.00116,2,69.4,194,200.308481225905,200.308481225905,"invertebrate","invertebrate",1.16e-06,0.126,22587.681691614,21.134304080644,2.58754677090273e-06,8.11739974180344e-05,0.000930289381589121,0.0106427746032196,0.322381048053508,5.63077079868541e-05,0.00197349162487603,0.0242759585502966,0.287762768398696,9.9781691903363
29,0.671228898217355,11422.5287118029,7667.13136207959,0.0255075408975761,6232.19400456348,2438,2,1,"Predator","Aquatic","Invertebrate","Crustacean",64200,1,"Invertebrate","Mollusk",1100,2,6080,NA,NA,6080,"invertebrate","invertebrate",1.1,64.2,5.70024972957563,0.508591473458268,0.000252713685487412,0.00772907301121064,0.0890101356178013,0.913338247154585,27.8606465393155,0.00787783497239193,0.24539121278858,2.86583385196315,29.4888579644046,900.961430320567
30,4.79170759171242,1026.10187972739,4916.78016696014,0.181378448319249,4052.41264136077,598,2,8,"Predator","Aquatic","Invertebrate","Crustacean",10.4,3,"Invertebrate","Crustacean",1.03,NA,3850,NA,NA,3850,"invertebrate","invertebrate",0.00103,0.0104,369.789685343816,95.2667350479718,0.000704887464541491,0.0224855155049497,0.249304177970241,2.55628238598744,88.9749370637174,0.0031705063376711,0.100407074987504,1.14754475198815,12.2571103259473,438.344393887154
31,0.224675102684219,216216.216216216,48578.4005803717,0.000423515706102127,1505.44864678458,3055,3,1,"Predator","Aquatic","Vertebrate","Fish",11200,2,"Invertebrate","Insect",3.5,5,NA,9000,NA,9000,"invertebrate","ecto-vertebrate",0.0035,11.2,182.390780502218,1001.8191123932,0.0771026679812498,0.924229246747205,5.6096876441573,30.660763251979,388.545745344784,5.05750573885772,73.5196927137002,500.568951290336,3445.10729553592,54386.5496862633
32,0.131312604862263,216216.216216216,28391.9145648136,0.000512755933170386,449.222977898879,3056,3,1,"Predator","Aquatic","Vertebrate","Fish",20900,6,"Invertebrate","Insect",3.5,5,NA,9000,NA,9000,"invertebrate","ecto-vertebrate",0.0035,20.9,174.844202846395,657.775059323149,0.0468922439917636,0.604699815189408,3.70918478551792,21.5480576179065,278.175355026216,0.670728437423297,13.8633733346225,108.712670922472,844.338060107994,16761.1173561402
33,0.280818015357491,1045.80152671756,293.679909190659,0.0633599935961332,105.638228159902,2168,2,1,"Predator","Terrestrial","Invertebrate","Insect",0.0181,3,"Invertebrate","Insect",0.00116,2,254,NA,NA,254,"invertebrate","invertebrate",1.16e-06,1.81e-05,22103.2759881636,4347.49265479721,0.000527414261775465,0.0179167595481427,0.190507772141867,2.10054455754326,64.5627955207128,0.00288332455993091,0.0981667568114112,1.03925285591279,11.6064333987773,352.592212714882
34,0.337031033941931,1201.01781170483,404.780274861556,0.00803236471908248,180.757140991028,2172,2,1,"Predator","Terrestrial","Invertebrate","Insect",2.09,4,"Invertebrate","Insect",0.00116,2,254,NA,NA,254,"invertebrate","invertebrate",1.16e-06,0.00209,23559.8985926331,243.208916329957,3.15998274638714e-05,0.00102080965837997,0.0103971417746094,0.109574978108934,3.61392822204406,0.00174922122553813,0.0568589909499077,0.574363534066505,6.11929963224185,203.728163431943
35,0.57099016178933,15.4416961130742,8.81705656190591,0.0113992673415861,0.0143379037786143,2659,2,1,"Predator","Terrestrial","Invertebrate","Insect",0.0613,1,"Invertebrate","Insect",0.00211,2,7.07,NA,NA,7.07,"invertebrate","invertebrate",2.11e-06,6.13e-05,15628.9283866023,2092.46452603886,0.000365969953479472,0.012674439848063,0.132776644522467,1.40645695484933,41.3474811514218,2.01284051046196e-05,0.000881169315813076,0.0107549036497813,0.130031264292359,4.63370996908859
36,0.0517835673535793,1350.75653370014,69.9469919411484,0.000249497059069,0.0314198096227277,880,3,1,"Predator","Aquatic","Invertebrate","Crustacean",0.0376,1,"Invertebrate","Rotifer",2e-04,1,NA,2.75,NA,2.75,"invertebrate","invertebrate",2e-07,3.76e-05,65353.4822232127,2870.04436476107,0.000140201773630436,0.00412227054090033,0.0450422928625831,0.480357358494346,14.2817428889028,0.000150150742281839,0.00659694731192976,0.0872111902910642,1.11260942887092,44.1323919501681
37,0.858359318719539,159.504132231405,136.9118582751,0.0199302931912213,5.015670527105,1601,2,1,"Predator","Terrestrial","Invertebrate","Arachnid",250,1,"Invertebrate","Insect",43,4,70.9,NA,NA,70.9,"invertebrate","invertebrate",0.043,0.25,39.0767763881873,13.5149757243537,0.000982541119042658,0.0315286857061507,0.335799221183176,3.6996259043317,113.632179285436,0.00147122054996337,0.0475848292618137,0.52235019065269,5.86348641709569,186.049539024806
39,0.718338584435039,353.448275862069,253.895534153764,0.157515021087445,187.045623067812,1681,2,1,"Parasitoid","Terrestrial","Invertebrate","Insect",1.06,NA,"Invertebrate","Insect",22.5,1,177,NA,NA,177,"invertebrate","invertebrate",0.0225,0.00106,59.6747840060591,373.256363101999,0.018868843301011,0.560444970345474,6.24905589749124,73.3242281742231,2161.35671694318,0.0839367491354009,2.63519549038036,30.1640508876835,360.639354121953,10997.8445640861
40,0.847206567759421,372.972972972973,315.98515229946,0.203421366951633,202.103141835835,1684,2,1,"Parasitoid","Terrestrial","Invertebrate","Insect",1.06,NA,"Invertebrate","Insect",30,2,177,NA,NA,177,"invertebrate","invertebrate",0.03,0.00106,50.5604233559259,360.869088092373,0.0213933222183958,0.636217990057022,7.37934750087754,81.1711971087686,2488.62928734286,0.0664901702624995,1.98785536114683,23.2486520551401,254.276498686279,7733.40808804926
41,0.602671059085392,343.440233236152,206.981489096966,0.134967960214027,164.749450280849,1687,2,1,"Parasitoid","Terrestrial","Invertebrate","Insect",1.06,NA,"Invertebrate","Insect",12.5,4,177,NA,NA,177,"invertebrate","invertebrate",0.0125,0.00106,85.581513763385,371.376628359086,0.0135773831437952,0.410501472769855,4.31346321453272,49.0661414302646,1526.11120806146,0.079007223768715,2.40258541837992,25.4725594030505,289.373805756653,8969.67647405453
42,0.91287105156902,345.614035087719,315.501047647538,0.174625865021073,237.381461872308,1690,2,1,"Parasitoid","Terrestrial","Invertebrate","Insect",1.06,NA,"Invertebrate","Insect",17.5,5,177,NA,NA,177,"invertebrate","invertebrate",0.0175,0.00106,69.3775875799478,358.777192065052,0.016977377477814,0.486842095740934,5.22673711112876,53.5405450016659,1928.54613589469,0.0683762201768349,1.98838396458656,21.4318529373218,218.718648773669,7930.94629477328
43,0.631745070232893,575,363.253415383914,0.070163423274677,709.55754150337,677,3,1,"Predator","Aquatic","Invertebrate","Crustacean",0.0663,1,"Vertebrate","Fish",3.91,6,NA,500,NA,500,"ecto_vertebrate","invertebrate",0.00391,6.63e-05,624.975653396182,2008.7709398809,0.0114405314206235,0.309716927615216,3.13336355397838,33.6883648732687,952.61585563297,0.31932974594415,8.64312361919958,87.030106418763,937.205559748272,26419.7606522197
